quarter_year,group,severity,n_casualties,n_lads,casualties_per_lad,base_2019,casualty_index
2023 Q2,Bradford,3,290,1,290,236.75,122.4920802534319
2023 Q2,Bradford's matched-control LADs,1,44,30,1.4666666666666666,1.9998290982555342,73.33960026614528
2023 Q2,Bradford's matched-control LADs,2,1339,58,23.086206896551722,20.573275862068964,112.21454012151686
2023 Q2,Bradford's matched-control LADs,3,5351,58,92.25862068965517,112.68103448275862,81.87590849973225
2023 Q3,Bradford,1,2,1,2,2.25,88.88888888888889
2023 Q3,Bradford,2,75,1,75,39.75,188.67924528301887
2023 Q3,Bradford,3,250,1,250,236.75,105.59662090813094
2023 Q3,Bradford's matched-control LADs,1,56,29,1.9310344827586208,1.9998290982555342,96.55997527204082
2023 Q3,Bradford's matched-control LADs,2,1357,58,23.396551724137932,20.573275862068964,113.72302535093233
2023 Q3,Bradford's matched-control LADs,3,5358,58,92.37931034482759,112.68103448275862,81.98301583658481
2023 Q4,Bradford,1,6,1,6,2.25,266.6666666666667
2023 Q4,Bradford,2,94,1,94,39.75,236.47798742138366
2023 Q4,Bradford,3,237,1,237,236.75,100.10559662090813
2023 Q4,Bradford's matched-control LADs,1,59,35,1.6857142857142857,1.9998290982555342,84.29291718901115
2023 Q4,Bradford's matched-control LADs,2,1389,58,23.948275862068964,20.573275862068964,116.40477686989314
2023 Q4,Bradford's matched-control LADs,3,5640,58,97.24137931034483,112.68103448275862,86.29791140693136
2024 Q1,Bradford,1,2,1,2,2.25,88.88888888888889
2024 Q1,Bradford,2,81,1,81,39.75,203.77358490566039
2024 Q1,Bradford,3,255,1,255,236.75,107.70855332629355
2024 Q1,Bradford's matched-control LADs,1,58,32,1.8125,1.9998290982555342,90.63274464708296
2024 Q1,Bradford's matched-control LADs,2,1250,58,21.551724137931036,20.573275862068964,104.7559187094071
2024 Q1,Bradford's matched-control LADs,3,4944,58,85.24137931034483,112.68103448275862,75.6483819141611
2024 Q2,Bradford,1,2,1,2,2.25,88.88888888888889
2024 Q2,Bradford,2,76,1,76,39.75,191.19496855345912
2024 Q2,Bradford,3,258,1,258,236.75,108.97571277719113
2024 Q2,Bradford's matched-control LADs,1,51,31,1.6451612903225807,1.9998290982555342,82.26509414017764
2024 Q2,Bradford's matched-control LADs,2,1291,58,22.25862068965517,20.573275862068964,108.19191284307564
2024 Q2,Bradford's matched-control LADs,3,5304,58,91.44827586206897,112.68103448275862,81.15675923800781
2024 Q3,Bradford,1,2,1,2,2.25,88.88888888888889
2024 Q3,Bradford,2,74,1,74,39.75,186.16352201257862
2024 Q3,Bradford,3,236,1,236,236.75,99.68321013727561
2024 Q3,Bradford's matched-control LADs,1,56,30,1.8666666666666667,1.9998290982555342,93.34130942963945
2024 Q3,Bradford's matched-control LADs,2,1279,58,22.051724137931036,20.573275862068964,107.18625602346535
2024 Q3,Bradford's matched-control LADs,3,5142,58,88.65517241379311,112.68103448275862,78.67798944227681
2024 Q4,Bradford,1,3,1,3,2.25,133.33333333333334
2024 Q4,Bradford,2,83,1,83,39.75,208.80503144654088
2024 Q4,Bradford,3,260,1,260,236.75,109.82048574445618
2024 Q4,Bradford's matched-control LADs,1,56,33,1.696969696969697,1.9998290982555342,84.85573584512677
2024 Q4,Bradford's matched-control LADs,2,1382,58,23.82758620689655,20.573275862068964,115.81814372512048
2024 Q4,Bradford's matched-control LADs,3,5749,58,99.12068965517241,112.68103448275862,87.96572565220717
