scheme,quarter_year,group,n_units,mean_injuries,total_injuries,caz_start_q,implementation_period
Birmingham,2018 Q1,Matched controls,1970,0.08591794923857868,169.25836,2021 Q3,Pre implementation
Birmingham,2018 Q2,CAZ roads,1239,0.07667473769168684,95,2021 Q3,Pre implementation
Birmingham,2018 Q2,Matched controls,1970,0.06713177664974619,132.2496,2021 Q3,Pre implementation
Birmingham,2018 Q3,CAZ roads,1239,0.07990314769975787,99,2021 Q3,Pre implementation
Birmingham,2018 Q3,Matched controls,1970,0.06699728934010152,131.98466,2021 Q3,Pre implementation
Birmingham,2018 Q4,CAZ roads,1239,0.11057304277643261,137,2021 Q3,Pre implementation
Birmingham,2018 Q4,Matched controls,1970,0.07566435532994924,149.05878,2021 Q3,Pre implementation
Birmingham,2019 Q1,CAZ roads,1239,0.09362389023405973,116,2021 Q3,Pre implementation
Birmingham,2019 Q1,Matched controls,1970,0.048572812182741114,95.68844,2021 Q3,Pre implementation
Birmingham,2019 Q2,CAZ roads,1239,0.08151735270379339,101,2021 Q3,Pre implementation
Birmingham,2019 Q2,Matched controls,1970,0.07484252791878172,147.43978,2021 Q3,Pre implementation
Birmingham,2019 Q3,CAZ roads,1239,0.07263922518159806,90,2021 Q3,Pre implementation
Birmingham,2019 Q3,Matched controls,1970,0.05489297969543147,108.13917000000001,2021 Q3,Pre implementation
Birmingham,2019 Q4,CAZ roads,1239,0.08958837772397095,111,2021 Q3,Pre implementation
Birmingham,2019 Q4,Matched controls,1970,0.07688978172588833,151.47287,2021 Q3,Pre implementation
Birmingham,2020 Q1,CAZ roads,1239,0.07021791767554479,87,2021 Q3,Pre implementation
Birmingham,2020 Q1,Matched controls,1970,0.04806093908629441,94.68005,2021 Q3,Pre implementation
Birmingham,2020 Q2,CAZ roads,1239,0.011299435028248588,14,2021 Q3,Pre implementation
Birmingham,2020 Q2,Matched controls,1970,0.02019222842639594,39.77869,2021 Q3,Pre implementation
Birmingham,2020 Q3,CAZ roads,1239,0.0516545601291364,64,2021 Q3,Pre implementation
Birmingham,2020 Q3,Matched controls,1970,0.04726802030456853,93.118,2021 Q3,Pre implementation
Birmingham,2020 Q4,CAZ roads,1239,0.048426150121065374,60,2021 Q3,Pre implementation
Birmingham,2020 Q4,Matched controls,1970,0.061176659898477155,120.51802,2021 Q3,Pre implementation
Birmingham,2021 Q1,CAZ roads,1239,0.05084745762711865,63,2021 Q3,Pre implementation
Birmingham,2021 Q1,Matched controls,1970,0.027341624365482233,53.863,2021 Q3,Pre implementation
Birmingham,2021 Q2,CAZ roads,1239,0.05084745762711865,63,2021 Q3,Pre implementation
Birmingham,2021 Q2,Matched controls,1970,0.05914871573604061,116.52297,2021 Q3,Pre implementation
Birmingham,2021 Q3,CAZ roads,1239,0.06941081517352704,86,2021 Q3,Implementation quarter
Birmingham,2021 Q3,Matched controls,1970,0.055363350253807106,109.0658,2021 Q3,Implementation quarter
Birmingham,2021 Q4,CAZ roads,1239,0.0774818401937046,96,2021 Q3,Post implementation
Birmingham,2021 Q4,Matched controls,1970,0.08663742639593909,170.67573,2021 Q3,Post implementation
Birmingham,2022 Q1,CAZ roads,1239,0.07586763518966909,94,2021 Q3,Post implementation
